region_id,country_name,city_name,composition_plastic_percent
SAS,Maldives,Addu,5
SAS,Maldives,Fuahmulah,6.93
LCN,Mexico,MÃ©xico City,13.16
LCN,Mexico,Guadalajara,18.96
LCN,Mexico,Monterrey,16.18
EAS,Marshall Islands,Majuro,12.5
ECS,"Macedonia, FYR",Kratovo,4.6
ECS,"Macedonia, FYR",Skopje,12.4
SSF,Mali,Bamako,16
EAS,Myanmar,Mandalay,15
EAS,Myanmar,Yangon,8
ECS,Montenegro,Podgorica,15.61
EAS,Mongolia,Ulaanbaatar,18
SSF,Mozambique,Maputo,10
SSF,Mauritania,Nouakchott,21
EAS,Malaysia,Kuala Lumpur,24.74
SSF,Namibia,Windhoek,16
SSF,Niger,Niamey,2
SSF,Nigeria,Lagos,15
SSF,Nigeria,Kano,4
SSF,Nigeria,Oyo,18.8
SSF,Nigeria,Ibadan,9
LCN,Nicaragua,Puerto Cabezas,6.66
LCN,Nicaragua,Managua,8.37
ECS,Netherlands,Amsterdam,6.4
ECS,Netherlands,Eindhoven,14
ECS,Norway,Bergen,8
ECS,Norway,Oslo,5
SAS,Nepal,Butwal,13.46
SAS,Nepal,Pokhara,9.92
SAS,Nepal,Dhankuta,17.85
SAS,Nepal,Birgunj,14.46
SAS,Nepal,Kathmandu,20.14
SAS,Nepal,Lalitpur,15.56
SAS,Nepal,Badimalika,6.87
SAS,Nepal,Bharatpur,5.61
SAS,Nepal,Dharan,16.19
SAS,Nepal,Bhimeshwor,8.17
SAS,Nepal,Biratnagar,11.99
SAS,Nepal,Bhaktapur,13.24
EAS,New Zealand,Auckland,11.2
EAS,New Zealand,Wellington,38
SAS,Pakistan,Karachi,6.4
SAS,Pakistan,Lahore,0.61
SAS,Pakistan,Sialkot,12.8
LCN,Panama,PanamÃ¡ City,12
LCN,Peru,Cusco,11.63
EAS,Philippines,Cebu,15
EAS,Philippines,Quezon City,9.64
EAS,Palau,Koror,48
EAS,Papua New Guinea,Port Moresby,18.5
ECS,Poland,KrakÃ³w,14.59
ECS,Portugal,Lisbon,13
ECS,Portugal,GuimarÃ£es,12.33
LCN,Paraguay,AsunciÃ³n,4.2
LCN,Paraguay,Ciudad Del Este,10.3
LCN,Paraguay,San Lorenzo,12
ECS,Romania,Cluj-Napoca,9
ECS,Romania,Bucharest,9.42
ECS,Russian Federation,Moscow,13
ECS,Russian Federation,St.petersburg,5.8
ECS,Russian Federation,Kemerovo,13
SSF,Rwanda,KigaliÂ ,1.5
MEA,Saudi Arabia,Jeddah,16
MEA,Saudi Arabia,Riyadh,13.3
EAS,Solomon Islands,Honiara,19.5
SSF,Sierra Leone,Freetown,0.9
LCN,El Salvador,San Salvador,11
SSF,Somalia,Hargeysa,16
ECS,Serbia,Belgrade,14.92
ECS,Serbia,Novi Sad,12.08
SSF,South Sudan,Juba,20
ECS,Slovak Republic,Trnava,5.78
ECS,Slovak Republic,Bratislava,9
ECS,Sweden,BorÃ¥s,0.7
ECS,Sweden,Stockholm,10.2
MEA,Syrian Arab Republic,Damascus,6.9
EAS,Thailand,Bangkok,25.01
ECS,Tajikistan,Khujand,10
ECS,Turkmenistan,Ashgabat,3
EAS,Timor-Leste,Dili,18
EAS,Tonga,Tongatapu,13.4
EAS,Tonga,Vavaâ€™u,13.4
MEA,Tunisia,Tunis,10.15
MEA,Tunisia,Sfax,11
MEA,Tunisia,Sousse,9
ECS,Turkey,Sakarya Mm,15.9
ECS,Turkey,Bursa Mm (Metropolitan Municipality),15.5
EAS,Tuvalu,Funafuti,9.3
SSF,Tanzania,Dar Es Salaam,2
SSF,Tanzania,Moshi,9
SSF,Tanzania,Mountain Kilimanjaro,24
SSF,Uganda,Kampala,1.6
ECS,Ukraine,Pavlograd,12.6
ECS,Ukraine,Kiev,7
LCN,Uruguay,Montevideo,15.87
NAC,United States,Seattle,11.5
EAS,Vietnam,Hanoi,8.6
EAS,Vietnam,Ho Chi Minh City,16
EAS,Vanuatu,Port Vila,7.9
EAS,Samoa,Upolu (Apia),13.04
ECS,Kosovo,Pristina,14.78
MEA,"Yemen, Rep.",SanaÃ¡,10
SSF,South Africa,Cape Town,6
SSF,South Africa,Soweto,3
